,accuracy,confusion,datetime,execution_time,f1,model,precision,recall,test_time,train_size
0,0.776,"[[  3   2   0   0   0   0]
 [  6 131  25   4  15  15]
 [  0   2  56   3   8   5]
 [  0   1   4  56   1   1]
 [  0   1   7   2  55   5]
 [  0   1   2   0   2  87]]",2019-04-01 16:05:11.333671,0.03929758071899414,0.7219877569932628,svm_linear,0.6981359480242483,0.7742299087019583,0.004660844802856445,1000
0,0.816,"[[  3   0   0   0   0   0]
 [  6 130  21   4  13   6]
 [  0   4  60   1   7   4]
 [  0   1   7  58   2   1]
 [  0   1   6   2  57   2]
 [  0   2   0   0   2 100]]",2019-04-01 16:05:11.451135,0.1004018783569336,0.7626539524902262,svm_linear,0.7324378899007984,0.8586748953722975,0.004660606384277344,2000
0,0.834,"[[  3   2   0   0   0   0]
 [  6 129  16   2   8   4]
 [  0   3  65   1   7   7]
 [  0   1   4  60   2   0]
 [  0   1   7   2  61   3]
 [  0   2   2   0   3  99]]",2019-04-01 16:05:11.613328,0.14282608032226562,0.7691361877079986,svm_linear,0.7519791402085647,0.8031266147456054,0.004638671875,3000
0,0.85,"[[  4   2   0   0   0   0]
 [  5 130  18   3   6   5]
 [  0   3  66   0   7   5]
 [  0   1   3  60   2   0]
 [  0   1   5   1  64   2]
 [  0   1   2   1   2 101]]",2019-04-01 16:05:11.815191,0.1820080280303955,0.8009098746190474,svm_linear,0.7826011298546197,0.8316088444594715,0.00488734245300293,4000
0,0.852,"[[  5   2   0   0   0   0]
 [  4 128  16   2   7   4]
 [  0   5  66   1   8   4]
 [  0   1   5  61   2   0]
 [  0   2   5   1  62   1]
 [  0   0   2   0   2 104]]",2019-04-01 16:05:12.094202,0.258467435836792,0.8150290050240402,svm_linear,0.8015778444236562,0.8358819044162992,0.004997968673706055,5500
